fakeid,date_obs,mjd_obs,expnum,exptime,ra,dec,band,ccdnum
397316,2013-11-19T01:15:46.675901,56615.05262356,255870,175.00000000,0.6392904599958764,-0.11259802870485713,g,38
397316,2013-11-19T01:19:11.568816,56615.05499501,255871,150.00000000,0.6392897945034863,-0.11259814937957512,r,38
397316,2013-11-19T01:22:12.941918,56615.05709423,255872,200.00000000,0.6392892054122051,-0.11259825618931843,i,38
397316,2013-11-19T01:26:04.843528,56615.05977828,255873,200.00000000,0.6392884522186748,-0.1125983927377723,z,38
397316,2013-11-19T01:29:56.306036,56615.06245725,255874,200.00000000,0.6392877004646852,-0.11259852900833053,z,38
397316,2013-11-29T03:12:51.971197,56625.13393485,258466,175.00000000,0.6365730600822992,-0.11297107882415863,g,38
397316,2013-11-29T03:16:16.451889,56625.13630153,258467,150.00000000,0.636572452422882,-0.11297113284231122,r,38
397316,2013-11-29T03:19:16.747536,56625.13838828,258468,200.00000000,0.6365719166480333,-0.11297118045813342,i,38
397316,2013-11-29T03:23:06.155079,56625.14104346,258469,200.00000000,0.6365712349481384,-0.11297124102630078,z,38
397316,2013-11-29T03:26:57.118315,56625.14371665,258470,200.00000000,0.6365705486459127,-0.11297130198479859,z,38
397316,2013-12-09T01:37:36.871766,56635.06778787,261937,175.00000000,0.6341809727300077,-0.1130549719115839,g,37
397316,2013-12-09T01:41:01.604783,56635.07015746,261938,150.00000000,0.6341804436733509,-0.1130549576604051,r,37
397316,2013-12-09T01:44:00.888006,56635.07223250,261939,200.00000000,0.6341799803998772,-0.11305494516733579,i,37
397316,2013-12-09T01:47:53.958204,56635.07493007,261940,200.00000000,0.6341793781637604,-0.11305492890747747,z,37
397316,2013-12-09T01:51:43.199262,56635.07758332,261941,200.00000000,0.6341787858489817,-0.11305491289410345,z,37
397316,2013-12-16T02:24:54.571690,56642.10063162,265096,175.00000000,0.6327095481435195,-0.11294106267828473,g,37
397316,2013-12-16T02:28:17.598997,56642.10298147,265097,150.00000000,0.6327090909321089,-0.11294100079293161,r,37
397316,2013-12-16T02:31:16.302101,56642.10504979,265098,200.00000000,0.6327086885178551,-0.11294094630881128,i,37
397316,2013-12-16T02:35:05.116637,56642.10769811,265099,200.00000000,0.6327081732867536,-0.11294087652850109,z,37
397316,2013-12-16T02:38:54.682301,56642.11035512,265100,200.00000000,0.6327076563948258,-0.11294080649891695,z,37
397316,2013-12-19T02:12:47.040652,56645.09221112,266119,175.00000000,0.6321471403851568,-0.11284949261945795,g,37
397316,2013-12-19T02:16:11.849372,56645.09458159,266120,150.00000000,0.632146710590049,-0.11284940994333198,r,37
397316,2013-12-19T02:19:12.423859,56645.09667157,266121,200.00000000,0.632146331672078,-0.1128493370367057,i,37
397316,2013-12-19T02:23:01.977909,56645.09932845,266122,200.00000000,0.6321458500038505,-0.11284924433674186,z,37
397316,2013-12-19T02:26:51.172294,56645.10198116,266123,200.00000000,0.6321453691222222,-0.11284915176199899,z,37
397316,2013-12-27T01:07:59.935872,56653.04722148,268287,175.00000000,0.6308536327684023,-0.11248295610506874,g,37
397316,2013-12-27T01:11:23.092346,56653.04957283,268288,150.00000000,0.6308532960377846,-0.1124828216925576,r,37
397316,2013-12-27T01:14:22.177506,56653.05164557,268289,200.00000000,0.6308529992283425,-0.11248270319349939,i,37
397316,2013-12-27T01:18:12.956866,56653.05431663,268290,200.00000000,0.6308526167747041,-0.112482550471402,z,37
397316,2013-12-27T01:22:02.032427,56653.05696797,268291,200.00000000,0.6308522371802247,-0.11248239885739228,z,37
397316,2014-01-10T01:47:27.023762,56667.07461833,272771,175.00000000,0.6293657252909372,-0.11141945289864942,g,29
397316,2014-01-10T01:50:51.430142,56667.07698415,272772,150.00000000,0.6293655655099829,-0.11141923138557455,r,29
397316,2014-01-10T01:53:51.207947,56667.07906491,272773,200.00000000,0.6293654250068276,-0.11141903655112281,i,29
397316,2014-01-10T01:57:39.829465,56667.08171099,272774,200.00000000,0.6293652463656986,-0.11141878876720406,z,29
397316,2014-01-10T02:01:29.522005,56667.08436947,272775,200.00000000,0.6293650669274171,-0.1114185398055611,z,29
397316,2014-01-18T02:44:02.300648,56675.11391552,275271,175.00000000,0.6290064600185747,-0.11059180810618724,g,29
397316,2014-01-18T02:47:27.028612,56675.11628505,275272,150.00000000,0.6290064087418351,-0.11059154286467963,r,29
397316,2014-01-18T02:50:29.253326,56675.11839414,275273,200.00000000,0.6290063631285876,-0.11059130676778156,i,29
397316,2014-01-18T02:54:18.157296,56675.12104349,275274,200.00000000,0.6290063058672973,-0.1105910101780047,z,29
397316,2014-01-18T02:58:08.423083,56675.12370860,275275,200.00000000,0.6290062483062265,-0.11059071180850215,z,29
397316,2014-01-25T02:17:11.143741,56682.09526787,277611,175.00000000,0.6289966824992953,-0.10975980380418303,g,29
397316,2014-01-25T02:20:35.600373,56682.09763426,277612,150.00000000,0.6289967273147022,-0.10975950529488053,r,29
397316,2014-01-25T02:23:36.385901,56682.09972669,277613,200.00000000,0.6289967669688458,-0.10975924133675832,i,29
397316,2014-01-25T02:27:27.083410,56682.10239680,277614,200.00000000,0.6289968176080311,-0.1097589044918569,z,29
397316,2014-01-25T02:31:18.648445,56682.10507695,277615,200.00000000,0.6289968684795608,-0.1097585663665357,z,29
397316,2014-02-02T00:50:45.509990,56690.03524896,280301,175.00000000,0.6293314476286288,-0.10870109911900656,g,23
397316,2014-02-02T00:54:12.867174,56690.03764893,280302,150.00000000,0.6293316044622634,-0.1087007628949308,r,23
397316,2014-02-02T00:57:11.082235,56690.03971160,280303,200.00000000,0.6293317392811084,-0.10870047391673193,i,23
