expnum,date,ra,dec,exptime,band,tag,object
369858,2014/10/21 05:50:04,2:41:23.48,2:38:36.0,90.0,r,None,DES survey hex 403+26 tiling 1
369859,2014/10/21 05:52:09,2:22:13.70,1:37:44.1,90.0,g,None,DES survey hex 356+16 tiling 1
369860,2014/10/21 05:54:09,2:22:13.69,1:37:44.4,90.0,r,None,DES survey hex 356+16 tiling 1
369861,2014/10/21 05:56:07,2:20:03.34,0:48:01.7,90.0,i,None,DES survey hex 356+16 tiling 3
369862,2014/10/21 05:58:06,2:15:51.08,0:36:51.9,90.0,g,None,DES survey hex 340+6 tiling 1
369863,2014/10/21 06:00:06,2:13:40.75,-0:12:50.4,90.0,r,None,DES survey hex 340+6 tiling 3
369864,2014/10/21 06:02:43,1:05:34.53,-0:24:00.4,90.0,r,None,DES survey hex 164-4 tiling 1
369865,2014/10/21 06:04:42,1:09:47.59,-0:12:50.2,90.0,g,None,DES survey hex 180+6 tiling 3
369866,2014/10/21 06:06:40,1:05:34.53,-0:24:00.2,90.0,i,None,DES survey hex 164-4 tiling 1
369867,2014/10/21 06:08:46,1:16:11.49,0:48:01.6,90.0,r,None,DES survey hex 196+16 tiling 3
369868,2014/10/21 06:10:47,1:21:42.40,3:07:00.3,90.0,r,None,DES survey hex 212+26 tiling 2
369869,2014/10/21 06:12:48,1:31:12.76,3:39:28.7,90.0,i,None,DES survey hex 228+37 tiling 1
369870,2014/10/21 06:14:47,1:35:29.86,3:50:38.2,90.0,r,None,DES survey hex 244+47 tiling 3
369871,2014/10/21 06:16:51,1:37:40.47,4:40:20.2,90.0,i,None,DES survey hex 244+47 tiling 1
369872,2014/10/21 06:18:50,1:41:59.38,4:51:30.5,90.0,r,None,DES survey hex 260+57 tiling 3
369873,2014/10/21 06:21:04,2:07:02.41,4:51:30.1,90.0,g,None,DES survey hex 323+57 tiling 3
369874,2014/10/21 06:23:08,1:50:29.69,4:40:20.4,90.0,g,None,DES survey hex 276+47 tiling 1
369875,2014/10/21 06:25:07,1:54:11.94,4:51:30.5,90.0,i,None,DES survey hex 291+57 tiling 3
369876,2014/10/21 06:27:06,1:50:29.71,4:40:20.1,90.0,r,None,DES survey hex 276+47 tiling 1
369877,2014/10/21 06:29:05,1:48:19.07,3:50:37.9,90.0,i,None,DES survey hex 276+47 tiling 3
369878,2014/10/21 06:31:06,1:41:50.49,2:49:45.8,90.0,r,None,DES survey hex 260+37 tiling 3
369879,2014/10/21 06:33:06,1:43:55.79,1:37:44.5,90.0,g,None,DES survey hex 260+16 tiling 1
369880,2014/10/21 06:35:05,1:43:55.78,1:37:44.4,90.0,i,None,DES survey hex 260+16 tiling 1
369881,2014/10/21 06:37:06,1:47:14.07,1:05:16.1,90.0,r,None,DES survey hex 276+6 tiling 2
